,Make,Model,Date
149,Dassault,FALCON 20,1982
6737,Airbus,A-300B4-2C,1983
7339,Dassault,FALCON 10,1984
9692,Dassault,FAN JET FALCON,1984
11630,Dassault,FALCON 50,1985
11775,Airbus,A-300B4-2C,1985
13079,Dassault,10,1985
13433,Dassault,FALCON 50,1985
13699,Airbus,A-300 B4-203,1985
14039,Dassault,DA-10,1986
15282,Airbus,A300B4-2C,1986
17123,Airbus,A300B4-203,1987
17134,Dassault,50,1987
18024,Airbus,A-310-222,1987
18297,Airbus,A-300-B4-203,1987
18936,Dassault,DA 10,1987
19134,Airbus,A310,1987
19528,Dassault,DA-10,1988
19580,Dassault,DA-20,1988
20367,Airbus,A-300,1988
21771,Airbus,A-300-600R,1988
21901,Airbus,A-300B4-203,1988
21981,Airbus,A-300-600,1988
22255,Dassault,FALCON 900,1989
22381,Dassault,FAN JET FALCON D,1989
22921,Airbus,A-300-B4-203,1989
22950,Airbus,A-310,1989
23327,Dassault,FALCON 20,1989
23477,Airbus,A-300,1989
25791,Sukhoi,SU-26MX,1990
26239,Dassault,DA20F,1990
26315,Airbus,A320-211,1990
26334,Airbus,A-310,1990
26913,Dassault,FALCON 50,1990
27178,Dassault,HU-25/A,1990
27443,Dassault,MISTERT FALCON 900,1991
28379,Airbus,A-300-605R,1991
28951,Airbus,A-300-600R,1991
29119,Airbus,A-320-231,1991
29555,Airbus,A-310-324,1991
29616,Airbus,A-310-200,1991
29755,Airbus,A320,1992
31954,Dassault,FALCON 10,1992
32219,Dassault,FALCON 10,1993
32745,Sukhoi,SU-29,1993
33639,Dassault,DA-10,1993
33804,Sukhoi,SU-26M,1993
34019,Airbus,A-300-605R,1993
34253,Airbus,A-300,1993
34439,Airbus,A-300 B4-203,1994
34713,Dassault,FALCON 900,1994
35892,Dassault,DA 200,1994
37169,Airbus,A320-211,1995
37173,Airbus,A320-211,1995
37389,Airbus,A-320-211,1995
37574,Airbus,A-300-B4-103,1995
38971,Airbus,A-300B4-605R,1996
39001,Dassault,DA-10,1996
39104,Airbus,A-300B4-605R,1996
39112,Sukhoi,SU-31,1996
39251,Airbus,A320-211,1996
39258,Sukhoi,SU-29,1996
39573,Sukhoi,SU-29,1996
39811,Airbus,A-320,1996
39876,Airbus,A-340-200,1996
40584,Airbus,AE 340-300,1996
40934,Airbus,A-320-211,1996
41114,Airbus,A-300B4-605R,1997
41233,Airbus,A-300-600R,1997
41437,Dassault,FALCON 900B,1997
41531,Airbus,A-320-232,1997
41760,Airbus,A300B4-605R,1997
42113,Airbus,A300-600,1997
42474,Dassault,DA-20,1997
42548,Airbus,A300 B4-203,1997
42758,Airbus,A-300,1997
42862,Sukhoi,SU-29,1997
43160,Airbus,A-300-600,1997
43401,Airbus,A300B4-62R,1998
43402,Airbus,A-320-212,1998
43735,Airbus,A300-600,1998
43843,Bombardier,RANS S-9,1998
43872,Airbus,A320,1998
43874,Dassault,DA-20,1998
43939,Sukhoi,SU-29,1998
44287,Dassault,MYSTERE FALCON 900,1998
44348,Airbus,A-300B4-605R,1998
44350,Airbus,A300,1998
44634,Airbus,A-320-231,1998
44769,Airbus,319,1998
44772,Dassault,FALCON DA-20,1998
44997,Airbus,A300-600,1998
45312,Airbus,A300-600,1998
45380,Airbus,300-200,1998
45575,Airbus,A-320-232,1999
45643,Airbus,A-320-231,1999
46098,Airbus,300-600,1999
46460,Airbus,A310,1999
46597,Airbus,A-300-600ER,1999
47019,Sukhoi,SU-29,1999
47133,Dassault,FALCON 900,1999
47141,Airbus,A-320-231,1999
47242,Airbus,319-131,1999
47293,Dassault,DA-900B,1999
47312,Airbus,A-320-231,1999
47508,Dassault,DA-20,1999
47779,Airbus,A 310,2000
48003,Dassault,DA-900,2000
