,Aircraft Damage,Make,Model,Amateur Built,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Event Year
47869,Destroyed,Cessna,182M,No,Personal,1.0,0.0,0.0,2000
48814,Destroyed,Piper,PA-24-260,No,Personal,4.0,0.0,0.0,2000
49402,Destroyed,Boeing,707-312B,No,Business,0.0,0.0,10.0,2000
50058,Substantial,Dassault,MYSTERE FALCON 900,No,Executive/corporate,0.0,0.0,0.0,2001
50100,Substantial,Cessna,340A,No,Personal,0.0,0.0,0.0,2001
50289,Substantial,Piper,PA-24,No,Personal,0.0,0.0,2.0,2001
50292,Destroyed,Cessna,210F,No,Personal,1.0,0.0,0.0,2001
50349,Destroyed,Piper,PA-46-500TP,No,Personal,2.0,0.0,0.0,2001
50364,Destroyed,Cessna,182,No,Personal,4.0,0.0,0.0,2001
50501,Destroyed,Piper,PA-42-1000,No,Personal,1.0,0.0,0.0,2001
50541,Substantial,Cessna,182S,No,Personal,2.0,0.0,0.0,2001
50561,Destroyed,Cessna,182,No,Personal,2.0,0.0,0.0,2001
50682,Substantial,Piper,PA-28-181,No,Personal,1.0,0.0,0.0,2001
50920,Destroyed,Cessna,U206G,No,Personal,2.0,2.0,0.0,2001
51523,Substantial,Piper,PA-32RT-300T,No,Personal,0.0,1.0,0.0,2001
51768,Destroyed,Piper,PA-31T1,No,Executive/corporate,4.0,0.0,0.0,2001
51932,Destroyed,Cessna,337D,No,Business,3.0,0.0,0.0,2001
51955,Substantial,Piper,PA-28R-180,No,Personal,1.0,0.0,0.0,2001
51987,Substantial,Piper,PA-46T,No,Personal,0.0,0.0,0.0,2002
52013,Substantial,Cessna,172,No,Personal,0.0,0.0,0.0,2002
52330,Destroyed,Piper,PA-32R-301T,No,Personal,1.0,2.0,0.0,2002
52350,Destroyed,Piper,PA-38-112,No,Personal,2.0,0.0,0.0,2002
52361,Substantial,Cessna,T310R,No,Personal,0.0,1.0,1.0,2002
53002,Substantial,Piper,PA-34,No,Personal,0.0,0.0,0.0,2002
53036,Substantial,Gulfstream,AA-5B,No,Personal,0.0,0.0,0.0,2002
53040,Substantial,Cessna,150H,No,Personal,0.0,0.0,0.0,2002
53096,Substantial,Cessna,182A,No,Personal,0.0,0.0,0.0,2002
53105,Destroyed,Cessna,206,No,Personal,6.0,0.0,0.0,2002
53126,Destroyed,Cessna,T210M,No,Personal,3.0,3.0,0.0,2002
53281,Substantial,Cessna,172N,No,Business,0.0,1.0,2.0,2002
53453,Minor,Cessna,120,No,Personal,0.0,1.0,0.0,2002
53474,Destroyed,Cessna,310R,No,Executive/corporate,5.0,0.0,0.0,2002
53521,Substantial,Cessna,150G,No,Personal,0.0,0.0,0.0,2002
53612,Substantial,Cessna,182E,No,Personal,0.0,0.0,0.0,2002
53686,Substantial,Cessna,180,No,Personal,0.0,0.0,0.0,2002
53713,Substantial,Cessna,180,No,Personal,0.0,0.0,0.0,2002
53722,Destroyed,Piper,PA-34-200T,No,Personal,4.0,0.0,0.0,2002
53731,Destroyed,Piper,PA-22,No,Personal,0.0,0.0,0.0,2002
53756,Destroyed,Piper,PA-31-350,No,Personal,1.0,2.0,0.0,2002
53795,Destroyed,Piper,PA-28-236,No,Personal,2.0,0.0,0.0,2002
53811,Destroyed,Cessna,182M,No,Personal,2.0,0.0,0.0,2002
53961,Substantial,Piper,PA-30,No,Personal,0.0,0.0,0.0,2002
54384,Substantial,Cessna,190,No,Personal,0.0,0.0,0.0,2003
54566,Substantial,Piper,PA-22-150,No,Personal,0.0,0.0,0.0,2003
54699,Substantial,Cessna,120,No,Personal,0.0,0.0,1.0,2003
54831,Substantial,Boeing,A75N1(PT17),No,Personal,0.0,0.0,2.0,2003
54832,Substantial,Piper,PA-46-500TP,No,Personal,0.0,0.0,0.0,2003
54843,Substantial,Piper,PA-18,No,Personal,0.0,0.0,0.0,2003
54876,Destroyed,Cessna,182Q,No,Personal,5.0,0.0,0.0,2003
54877,Destroyed,Cessna,172N,No,Personal,5.0,0.0,0.0,2003
54878,Substantial,Cessna,172S,No,Personal,0.0,0.0,0.0,2003
54884,Substantial,Cessna,177,No,Personal,0.0,0.0,0.0,2003
54899,Substantial,Piper,Saratoga II TC PA32-,No,Personal,0.0,0.0,0.0,2003
54921,Substantial,Cessna,TU-206F,No,Personal,0.0,0.0,3.0,2003
54946,Substantial,Cessna,P206,No,Personal,0.0,0.0,0.0,2003
55080,Substantial,Piper,PA-18,No,Personal,0.0,0.0,0.0,2003
55110,Substantial,Cessna,R172K,No,Personal,0.0,0.0,0.0,2003
55113,Substantial,Piper,PA-18,No,Personal,0.0,0.0,0.0,2003
55140,Substantial,Cessna,172N,No,Personal,0.0,0.0,0.0,2003
55153,Substantial,Cessna,140,No,Personal,0.0,0.0,0.0,2003
55192,Substantial,Cessna,170B,No,Personal,0.0,0.0,2.0,2003
55252,Substantial,Piper,PA-18,No,Personal,0.0,0.0,0.0,2003
55253,Substantial,Cessna,185,No,Personal,0.0,0.0,0.0,2003
55255,Substantial,Cessna,172S,No,Personal,0.0,0.0,0.0,2003
55274,Destroyed,Cessna,185F,No,Personal,2.0,0.0,3.0,2003
55290,Substantial,Cessna,170B,No,Personal,0.0,0.0,0.0,2003
55304,Substantial,Cessna,172RG,No,Personal,0.0,0.0,0.0,2003
55307,Substantial,Piper,PA-28-140,No,Personal,1.0,2.0,0.0,2003
55324,Substantial,Cessna,210D,No,Personal,0.0,0.0,0.0,2003
55326,Substantial,Cessna,170B,No,Personal,0.0,0.0,0.0,2003
55329,Substantial,Cessna,172,No,Personal,0.0,0.0,0.0,2003
55355,Substantial,Cessna,150C,No,Personal,0.0,0.0,0.0,2003
55356,Substantial,Cessna,195,No,Personal,0.0,0.0,0.0,2003
55388,Substantial,Piper,PA-28-180,No,Personal,0.0,0.0,0.0,2003
55408,Destroyed,Cessna,R172K,No,Personal,3.0,0.0,0.0,2003
55421,Substantial,Cessna,182J,No,Personal,0.0,0.0,0.0,2003
55422,Substantial,Cessna,C-170,No,Personal,0.0,0.0,0.0,2003
55467,Substantial,Cessna,150M,No,Personal,0.0,0.0,0.0,2003
55476,Substantial,Piper,PA-18-180,No,Personal,0.0,0.0,0.0,2003
55498,Destroyed,Piper,PA-31,No,Personal,2.0,0.0,0.0,2003
55508,Destroyed,Cessna,402B,No,Personal,8.0,0.0,0.0,2003
55511,Substantial,Cessna,172M,No,Personal,0.0,0.0,0.0,2003
55526,Substantial,Cessna,182K,No,Personal,0.0,0.0,0.0,2003
55551,Substantial,Cessna,182B,No,Personal,0.0,1.0,1.0,2003
55555,Substantial,Piper,PA-60,No,Other Work Use,0.0,0.0,0.0,2003
55560,Substantial,Cessna,150F,No,Personal,0.0,0.0,0.0,2003
55580,Substantial,Cessna,180 H,No,Personal,0.0,0.0,0.0,2003
55605,Substantial,Piper,PA-18-150,No,Personal,0.0,0.0,0.0,2003
55649,Substantial,Cessna,140,No,Personal,0.0,0.0,0.0,2003
55665,Substantial,Cessna,182C,No,Personal,0.0,0.0,0.0,2003
55674,Substantial,Piper,PA-24-260B,No,Personal,0.0,0.0,0.0,2003
55729,Substantial,Piper,PA-32-300,No,Personal,0.0,0.0,0.0,2003
55730,Substantial,Cessna,172N,No,Personal,0.0,0.0,1.0,2003
55741,Substantial,Cessna,172N,No,Personal,0.0,0.0,0.0,2003
55747,Substantial,Cessna,172M,No,Personal,0.0,0.0,0.0,2003
55754,Substantial,Cessna,U206F,No,Personal,0.0,1.0,0.0,2003
55758,Substantial,Piper,PA-20,No,Personal,0.0,0.0,0.0,2003
55759,Substantial,Cessna,172N,No,Personal,0.0,0.0,0.0,2003
55776,Substantial,Piper,PA-28-140,No,Personal,0.0,0.0,0.0,2003
55789,Substantial,Cessna,182M,No,Personal,0.0,0.0,0.0,2003
55790,Substantial,Piper,PA-22-150,No,Personal,0.0,0.0,1.0,2003
55825,Substantial,Cessna,172K,No,Personal,0.0,0.0,0.0,2003
55834,Substantial,Cessna,172N,No,Personal,0.0,0.0,2.0,2003
55835,Substantial,Piper,PA-18,No,Personal,0.0,0.0,0.0,2003
55935,Substantial,Piper,PA-28R-200,No,Personal,0.0,0.0,0.0,2003
55965,Destroyed,Piper,PA-28-140,No,Personal,1.0,1.0,0.0,2003
55977,Destroyed,Piper,PA-46,No,Personal,2.0,0.0,0.0,2003
55991,Substantial,Piper,PA-18,No,Personal,0.0,0.0,0.0,2003
56019,Substantial,Piper,PA-30,No,Personal,0.0,0.0,0.0,2003
56074,Substantial,Piper,PA 28-181,No,Personal,0.0,0.0,0.0,2004
56075,Substantial,Cessna,172F,No,Personal,0.0,0.0,0.0,2004
56076,Substantial,Cessna,172N,No,Personal,0.0,0.0,0.0,2004
56085,Substantial,Cessna,150L,No,Personal,0.0,0.0,0.0,2004
56099,Substantial,Cessna,152,No,Personal,0.0,0.0,0.0,2004
56109,Substantial,Cessna,210L,No,Personal,0.0,0.0,0.0,2004
56112,Substantial,Piper,PA-32R,No,Personal,0.0,0.0,0.0,2004
56136,Substantial,Cessna,172P,No,Personal,0.0,0.0,0.0,2004
56183,Substantial,Cessna,172M,No,Personal,0.0,0.0,0.0,2004
56186,Substantial,Cessna,A185F,No,Personal,0.0,0.0,0.0,2004
56196,Substantial,Piper,PA-23-250,No,Personal,0.0,0.0,0.0,2004
56205,Substantial,Piper,PA-20,No,Personal,0.0,0.0,0.0,2004
56208,Substantial,Piper,PA-28R-201T,No,Personal,0.0,0.0,0.0,2004
56216,Substantial,Cessna,172,No,Personal,0.0,0.0,0.0,2004
56222,Substantial,Cessna,172S,No,Personal,0.0,0.0,0.0,2004
56227,Substantial,Cessna,172E,No,Personal,0.0,0.0,0.0,2004
56228,Substantial,Cessna,177A,No,Personal,0.0,0.0,0.0,2004
56261,Substantial,Cessna,182P,No,Personal,0.0,0.0,0.0,2004
56282,Substantial,Cessna,120,No,Personal,0.0,0.0,0.0,2004
56285,Substantial,Cessna,T210M,No,Business,0.0,0.0,2.0,2004
56315,Substantial,Cessna,182E,No,Personal,0.0,0.0,0.0,2004
56318,Destroyed,Cessna,182,No,Personal,4.0,0.0,0.0,2004
56353,Substantial,Cessna,172C,No,Personal,0.0,0.0,1.0,2004
56355,Substantial,Cessna,182P,No,Personal,1.0,0.0,0.0,2004
56384,Substantial,Cessna,T310R,No,Personal,0.0,0.0,0.0,2004
56386,Substantial,Cessna,172A,No,Personal,0.0,0.0,1.0,2004
56411,Substantial,Cessna,182T,No,Personal,0.0,0.0,0.0,2004
56414,Substantial,Cessna,C-180,No,Personal,0.0,0.0,0.0,2004
56425,Substantial,Cessna,180,No,Personal,0.0,0.0,0.0,2004
56442,Substantial,Cessna,172N,No,Personal,0.0,0.0,0.0,2004
56477,Substantial,Cessna,172N,No,Personal,0.0,0.0,0.0,2004
56488,Substantial,Cessna,182C,No,Personal,0.0,0.0,0.0,2004
56495,Substantial,Cessna,180A,No,Personal,0.0,0.0,0.0,2004
56497,Substantial,Piper,PA-28-180,No,Personal,0.0,0.0,0.0,2004
